"Title","Year","Released","Rated","Runtime","Genre","Director","Language","Country","imdbRating","imdbVotes","imdbID","BoxOffice"
"Ponyo","2008",2009-08-14,"G","101 min","Animation, Adventure, Comedy","Hayao Miyazaki","English, Japanese","Japan",7.6,155254,"tt0876563","$15,743,471"
"Flash of Genius","2008",2008-10-03,"PG-13","119 min","Biography, Drama","Marc Abraham","English, Spanish","Canada, United States",7,17630,"tt1054588","$4,442,377"
"Flash of Genius","2008",2008-10-03,"PG-13","119 min","Biography, Drama","Marc Abraham","English, Spanish","Canada, United States",7,17630,"tt1054588","$4,442,377"
"Flash of Genius","2008",2008-10-03,"PG-13","119 min","Biography, Drama","Marc Abraham","English, Spanish","Canada, United States",7,17630,"tt1054588","$4,442,377"
"Tinker Bell","2008",2008-10-28,"G","78 min","Animation, Adventure, Family, Fantasy","Bradley Raymond","English","USA",6.8,12346,"tt0823671","N/A"
"Tinker Bell","2008",2008-10-28,"G","78 min","Animation, Adventure, Family, Fantasy","Bradley Raymond","English","USA",6.8,12346,"tt0823671","N/A"
"Fashion","2008",2008-10-29,"Not Rated","167 min","Drama, Romance","Madhur Bhandarkar","Hindi","India",6.9,12944,"tt0964516","$191,442"
"The Hurt Locker","2008",2009-07-31,"R","131 min","Drama, Thriller, War","Kathryn Bigelow","English, Arabic","United States",7.5,466657,"tt0887912","$17,017,811"
"The Hurt Locker","2008",2009-07-31,"R","131 min","Drama, Thriller, War","Kathryn Bigelow","English, Arabic","United States",7.5,466657,"tt0887912","$17,017,811"
"The Hurt Locker","2008",2009-07-31,"R","131 min","Drama, Thriller, War","Kathryn Bigelow","English, Arabic","United States",7.5,466657,"tt0887912","$17,017,811"
"Rachel Getting Married","2008",2008-10-31,"R","113 min","Drama, Romance","Jonathan Demme","English","United States",6.7,50632,"tt1084950","$12,796,841"
"Rachel Getting Married","2008",2008-10-31,"R","113 min","Drama, Romance","Jonathan Demme","English","United States",6.7,50632,"tt1084950","$12,796,841"
"Rachel Getting Married","2008",2008-10-31,"R","113 min","Drama, Romance","Jonathan Demme","English","United States",6.7,50632,"tt1084950","$12,796,841"
"Easy Virtue","2008",2009-06-19,"PG-13","97 min","Comedy, Romance","Stephan Elliott","English, French","United Kingdom, Canada",6.6,22083,"tt0808244","$2,656,784"
"Easy Virtue","2008",2009-06-19,"PG-13","97 min","Comedy, Romance","Stephan Elliott","English, French","United Kingdom, Canada",6.6,22083,"tt0808244","$2,656,784"
"Easy Virtue","2008",2009-06-19,"PG-13","97 min","Comedy, Romance","Stephan Elliott","English, French","United Kingdom, Canada",6.6,22083,"tt0808244","$2,656,784"
"Twilight","2008",2008-11-21,"PG-13","122 min","Drama, Fantasy, Romance","Catherine Hardwicke","English","United States",5.3,477457,"tt1099212","$193,962,473"
"Twilight","2008",2008-11-21,"PG-13","122 min","Drama, Fantasy, Romance","Catherine Hardwicke","English","United States",5.3,477457,"tt1099212","$193,962,473"
"Twilight","2008",2008-11-21,"PG-13","122 min","Drama, Fantasy, Romance","Catherine Hardwicke","English","United States",5.3,477457,"tt1099212","$193,962,473"
"Gran Torino","2008",2009-01-09,"R","116 min","Drama","Clint Eastwood","English, Hmong","Germany, United States",8.1,799588,"tt1205489","$148,095,302"
"Gran Torino","2008",2009-01-09,"R","116 min","Drama","Clint Eastwood","English, Hmong","Germany, United States",8.1,799588,"tt1205489","$148,095,302"
"Gran Torino","2008",2009-01-09,"R","116 min","Drama","Clint Eastwood","English, Hmong","Germany, United States",8.1,799588,"tt1205489","$148,095,302"
"Che: Part One","2008",2009-01-24,"Not Rated","134 min","Biography, Drama, History","Steven Soderbergh","Spanish, English","France, Spain, United States",7.2,47453,"tt0892255","$748,555"
"Che: Part One","2008",2009-01-24,"Not Rated","134 min","Biography, Drama, History","Steven Soderbergh","Spanish, English","France, Spain, United States",7.2,47453,"tt0892255","$748,555"
"The Curious Case of Benjamin Button","2008",2008-12-25,"PG-13","166 min","Drama, Fantasy, Romance","David Fincher","English, Russian, French","United States",7.8,678942,"tt0421715","$127,509,326"
"The Curious Case of Benjamin Button","2008",2008-12-25,"PG-13","166 min","Drama, Fantasy, Romance","David Fincher","English, Russian, French","United States",7.8,678942,"tt0421715","$127,509,326"
"The Curious Case of Benjamin Button","2008",2008-12-25,"PG-13","166 min","Drama, Fantasy, Romance","David Fincher","English, Russian, French","United States",7.8,678942,"tt0421715","$127,509,326"
"Ghost Town","2008",2008-09-19,"PG-13","102 min","Comedy, Drama, Fantasy","David Koepp","English","United States",6.7,76748,"tt0995039","$13,367,624"
"Ghost Town","2008",2008-09-19,"PG-13","102 min","Comedy, Drama, Fantasy","David Koepp","English","United States",6.7,76748,"tt0995039","$13,367,624"
"Ghost Town","2008",2008-09-19,"PG-13","102 min","Comedy, Drama, Fantasy","David Koepp","English","United States",6.7,76748,"tt0995039","$13,367,624"
"The Beaches of Agnès","2008",2008-12-17,"Not Rated","112 min","Documentary, Biography","Agnès Varda","French, English","France",8,4551,"tt1129435","$239,711"
"The Beaches of Agnès","2008",2008-12-17,"Not Rated","112 min","Documentary, Biography","Agnès Varda","French, English","France",8,4551,"tt1129435","$239,711"
"The Beaches of Agnès","2008",2008-12-17,"Not Rated","112 min","Documentary, Biography","Agnès Varda","French, English","France",8,4551,"tt1129435","$239,711"
"The Alphabet Killer","2008",2009-12-10,"R","98 min","Crime, Mystery, Thriller","Rob Schmidt","English","United States",5.2,8760,"tt0818165","$29,784"
"The Alphabet Killer","2008",2009-12-10,"R","98 min","Crime, Mystery, Thriller","Rob Schmidt","English","United States",5.2,8760,"tt0818165","$29,784"
"Quarantine","2008",2008-10-10,"R","89 min","Horror, Sci-Fi, Thriller","John Erick Dowdle","English","United States, Spain",5.9,75976,"tt1082868","$31,691,811"
"Quarantine","2008",2008-10-10,"R","89 min","Horror, Sci-Fi, Thriller","John Erick Dowdle","English","United States, Spain",5.9,75976,"tt1082868","$31,691,811"
"Quarantine","2008",2008-10-10,"R","89 min","Horror, Sci-Fi, Thriller","John Erick Dowdle","English","United States, Spain",5.9,75976,"tt1082868","$31,691,811"
"Repo! The Genetic Opera","2008",2008-11-20,"R","98 min","Horror, Musical, Sci-Fi","Darren Lynn Bousman","English","United States",6.4,26068,"tt0963194","$146,750"
"Repo! The Genetic Opera","2008",2008-11-20,"R","98 min","Horror, Musical, Sci-Fi","Darren Lynn Bousman","English","United States",6.4,26068,"tt0963194","$146,750"
"Repo! The Genetic Opera","2008",2008-11-20,"R","98 min","Horror, Musical, Sci-Fi","Darren Lynn Bousman","English","United States",6.4,26068,"tt0963194","$146,750"
"Definitely, Maybe","2008",2008-02-14,"PG-13","112 min","Comedy, Drama, Romance","Adam Brooks","English","United Kingdom, France, Germany, United States",7.1,171054,"tt0832266","$32,241,649"
"Definitely, Maybe","2008",2008-02-14,"PG-13","112 min","Comedy, Drama, Romance","Adam Brooks","English","United Kingdom, France, Germany, United States",7.1,171054,"tt0832266","$32,241,649"
"Definitely, Maybe","2008",2008-02-14,"PG-13","112 min","Comedy, Drama, Romance","Adam Brooks","English","United Kingdom, France, Germany, United States",7.1,171054,"tt0832266","$32,241,649"
"Franklyn","2008",2009-02-27,"R","98 min","Drama, Fantasy, Sci-Fi","Gerald McMorrow","English","United Kingdom",6,17992,"tt0893402","N/A"
"Franklyn","2008",2009-02-27,"R","98 min","Drama, Fantasy, Sci-Fi","Gerald McMorrow","English","United Kingdom",6,17992,"tt0893402","N/A"
"Let the Right One In","2008",2008-12-12,"R","114 min","Drama, Fantasy, Horror","Tomas Alfredson","Swedish, Spanish","Sweden",7.8,223610,"tt1139797","$2,122,065"
"Let the Right One In","2008",2008-12-12,"R","114 min","Drama, Fantasy, Horror","Tomas Alfredson","Swedish, Spanish","Sweden",7.8,223610,"tt1139797","$2,122,065"
"Let the Right One In","2008",2008-12-12,"R","114 min","Drama, Fantasy, Horror","Tomas Alfredson","Swedish, Spanish","Sweden",7.8,223610,"tt1139797","$2,122,065"
"Kung Fu Panda","2008",2008-06-06,"PG","92 min","Animation, Action, Adventure","Mark Osborne, John Stevenson","English","United States, United Kingdom",7.6,499878,"tt0441773","$215,771,591"
"Kung Fu Panda","2008",2008-06-06,"PG","92 min","Animation, Action, Adventure","Mark Osborne, John Stevenson","English","United States, United Kingdom",7.6,499878,"tt0441773","$215,771,591"
"Kung Fu Panda","2008",2008-06-06,"PG","92 min","Animation, Action, Adventure","Mark Osborne, John Stevenson","English","United States, United Kingdom",7.6,499878,"tt0441773","$215,771,591"
"Kolme viisasta miestä","2008",2008-11-14,"Not Rated","105 min","Drama","Mika Kaurismäki","Finnish","Finland",6.6,548,"tt1270769","N/A"
"The Machine Girl","2008",2008-05-23,"Not Rated","96 min","Action, Comedy, Horror","Noboru Iguchi","Japanese","Japan, United States",5.9,10565,"tt1050160","N/A"
"The Machine Girl","2008",2008-05-23,"Not Rated","96 min","Action, Comedy, Horror","Noboru Iguchi","Japanese","Japan, United States",5.9,10565,"tt1050160","N/A"
"Sex and the City","2008",2008-05-30,"R","145 min","Comedy, Drama, Romance","Michael Patrick King","English","United States",5.7,125532,"tt1000774","$152,647,258"
"Sex and the City","2008",2008-05-30,"R","145 min","Comedy, Drama, Romance","Michael Patrick King","English","United States",5.7,125532,"tt1000774","$152,647,258"
"Sex and the City","2008",2008-05-30,"R","145 min","Comedy, Drama, Romance","Michael Patrick King","English","United States",5.7,125532,"tt1000774","$152,647,258"
"Fanboys","2009",2009-02-13,"PG-13","90 min","Adventure, Comedy, Crime","Kyle Newman","English","United States",6.5,60511,"tt0489049","$688,529"
"Fanboys","2009",2009-02-13,"PG-13","90 min","Adventure, Comedy, Crime","Kyle Newman","English","United States",6.5,60511,"tt0489049","$688,529"
"Fanboys","2009",2009-02-13,"PG-13","90 min","Adventure, Comedy, Crime","Kyle Newman","English","United States",6.5,60511,"tt0489049","$688,529"
"Love Exposure","2008",2009-01-31,"Unrated","237 min","Action, Comedy, Drama","Sion Sono","Japanese","Japan",8,15271,"tt1128075","N/A"
"Love Exposure","2008",2009-01-31,"Unrated","237 min","Action, Comedy, Drama","Sion Sono","Japanese","Japan",8,15271,"tt1128075","N/A"
"Love Exposure","2008",2009-01-31,"Unrated","237 min","Action, Comedy, Drama","Sion Sono","Japanese","Japan",8,15271,"tt1128075","N/A"
"Departures","2008",2009-06-19,"PG-13","130 min","Drama","Yôjirô Takita","Japanese","Japan",8,54150,"tt1069238","$1,498,210"
"Departures","2008",2009-06-19,"PG-13","130 min","Drama","Yôjirô Takita","Japanese","Japan",8,54150,"tt1069238","$1,498,210"
"Departures","2008",2009-06-19,"PG-13","130 min","Drama","Yôjirô Takita","Japanese","Japan",8,54150,"tt1069238","$1,498,210"
"Birdemic: Shock and Terror","2010",2010-02-27,"Not Rated","105 min","Horror, Thriller","James Nguyen","English","United States",1.7,24958,"tt1316037","N/A"
"Birdemic: Shock and Terror","2010",2010-02-27,"Not Rated","105 min","Horror, Thriller","James Nguyen","English","United States",1.7,24958,"tt1316037","N/A"
"Cloverfield","2008",2008-01-18,"PG-13","85 min","Action, Adventure, Horror","Matt Reeves","English, Russian, French, Japanese","United States",7,413395,"tt1060277","$80,048,433"
"Cloverfield","2008",2008-01-18,"PG-13","85 min","Action, Adventure, Horror","Matt Reeves","English, Russian, French, Japanese","United States",7,413395,"tt1060277","$80,048,433"
"Cloverfield","2008",2008-01-18,"PG-13","85 min","Action, Adventure, Horror","Matt Reeves","English, Russian, French, Japanese","United States",7,413395,"tt1060277","$80,048,433"
"Ciao","2008",2008-03-30,"R","87 min","Drama, Romance","Yen Tan","English, Italian, Mandarin, Spanish","United States",6.6,2525,"tt0870089","$49,494"
"Ciao","2008",2008-03-30,"R","87 min","Drama, Romance","Yen Tan","English, Italian, Mandarin, Spanish","United States",6.6,2525,"tt0870089","$49,494"
"The Sisterhood of the Traveling Pants 2","2008",2008-08-06,"PG-13","119 min","Comedy, Drama, Romance","Sanaa Hamri","English, Greek","United States",6.2,30333,"tt1018785","$44,089,964"
"The Sisterhood of the Traveling Pants 2","2008",2008-08-06,"PG-13","119 min","Comedy, Drama, Romance","Sanaa Hamri","English, Greek","United States",6.2,30333,"tt1018785","$44,089,964"
"The Sisterhood of the Traveling Pants 2","2008",2008-08-06,"PG-13","119 min","Comedy, Drama, Romance","Sanaa Hamri","English, Greek","United States",6.2,30333,"tt1018785","$44,089,964"
"Four Christmases","2008",2008-11-26,"PG-13","88 min","Comedy, Drama, Romance","Seth Gordon","English","Germany, United States",5.7,76629,"tt0369436","$120,146,040"
"Four Christmases","2008",2008-11-26,"PG-13","88 min","Comedy, Drama, Romance","Seth Gordon","English","Germany, United States",5.7,76629,"tt0369436","$120,146,040"
"Four Christmases","2008",2008-11-26,"PG-13","88 min","Comedy, Drama, Romance","Seth Gordon","English","Germany, United States",5.7,76629,"tt0369436","$120,146,040"
"The Secret Life of Bees","2008",2008-10-17,"PG-13","114 min","Drama","Gina Prince-Bythewood","English","United States",7.2,27436,"tt0416212","$37,770,162"
"The Secret Life of Bees","2008",2008-10-17,"PG-13","114 min","Drama","Gina Prince-Bythewood","English","United States",7.2,27436,"tt0416212","$37,770,162"
"The Secret Life of Bees","2008",2008-10-17,"PG-13","114 min","Drama","Gina Prince-Bythewood","English","United States",7.2,27436,"tt0416212","$37,770,162"
"Pontypool","2008",2009-09-18,"Not Rated","93 min","Horror, Sci-Fi","Bruce McDonald","English, French, Armenian","Canada",6.5,34350,"tt1226681","$3,865"
"Pontypool","2008",2009-09-18,"Not Rated","93 min","Horror, Sci-Fi","Bruce McDonald","English, French, Armenian","Canada",6.5,34350,"tt1226681","$3,865"
"Pontypool","2008",2009-09-18,"Not Rated","93 min","Horror, Sci-Fi","Bruce McDonald","English, French, Armenian","Canada",6.5,34350,"tt1226681","$3,865"
"I've Loved You So Long","2008",2009-02-20,"PG-13","117 min","Drama","Philippe Claudel","French, English","France, Germany",7.6,20592,"tt1068649","$3,169,305"
"I've Loved You So Long","2008",2009-02-20,"PG-13","117 min","Drama","Philippe Claudel","French, English","France, Germany",7.6,20592,"tt1068649","$3,169,305"
"I've Loved You So Long","2008",2009-02-20,"PG-13","117 min","Drama","Philippe Claudel","French, English","France, Germany",7.6,20592,"tt1068649","$3,169,305"
"Frost/Nixon","2008",2009-01-23,"R","122 min","Biography, Drama, History","Ron Howard","English","United Kingdom, France, United States",7.7,111217,"tt0870111","$18,622,031"
"Frost/Nixon","2008",2009-01-23,"R","122 min","Biography, Drama, History","Ron Howard","English","United Kingdom, France, United States",7.7,111217,"tt0870111","$18,622,031"
"Frost/Nixon","2008",2009-01-23,"R","122 min","Biography, Drama, History","Ron Howard","English","United Kingdom, France, United States",7.7,111217,"tt0870111","$18,622,031"
"City of Ember","2008",2008-10-10,"PG","90 min","Adventure, Drama, Family","Gil Kenan","English","United States",6.4,68665,"tt0970411","$7,873,007"
"City of Ember","2008",2008-10-10,"PG","90 min","Adventure, Drama, Family","Gil Kenan","English","United States",6.4,68665,"tt0970411","$7,873,007"
"City of Ember","2008",2008-10-10,"PG","90 min","Adventure, Drama, Family","Gil Kenan","English","United States",6.4,68665,"tt0970411","$7,873,007"
"The House Bunny","2008",2008-08-22,"PG-13","97 min","Comedy","Fred Wolf","English","United States",5.5,88144,"tt0852713","$48,237,389"
"The House Bunny","2008",2008-08-22,"PG-13","97 min","Comedy","Fred Wolf","English","United States",5.5,88144,"tt0852713","$48,237,389"
"The House Bunny","2008",2008-08-22,"PG-13","97 min","Comedy","Fred Wolf","English","United States",5.5,88144,"tt0852713","$48,237,389"
"Indiana Jones and the Kingdom of the Crystal Skull","2008",2008-05-22,"PG-13","122 min","Action, Adventure","Steven Spielberg","English, German, Russian","United States",6.2,481862,"tt0367882","$317,101,119"
"Indiana Jones and the Kingdom of the Crystal Skull","2008",2008-05-22,"PG-13","122 min","Action, Adventure","Steven Spielberg","English, German, Russian","United States",6.2,481862,"tt0367882","$317,101,119"
"Indiana Jones and the Kingdom of the Crystal Skull","2008",2008-05-22,"PG-13","122 min","Action, Adventure","Steven Spielberg","English, German, Russian","United States",6.2,481862,"tt0367882","$317,101,119"
"El patio de mi cárcel","2008",2008-09-26,"N/A","100 min","Drama","Belén Macías","Spanish","Spain",6.1,384,"tt1103193","N/A"
"The Chronicles of Narnia: Prince Caspian","2008",2008-05-16,"PG","150 min","Action, Adventure, Family","Andrew Adamson","English","United States, Poland, Slovenia, Czech Republic, United Kingdom",6.5,220539,"tt0499448","$141,621,490"
"The Chronicles of Narnia: Prince Caspian","2008",2008-05-16,"PG","150 min","Action, Adventure, Family","Andrew Adamson","English","United States, Poland, Slovenia, Czech Republic, United Kingdom",6.5,220539,"tt0499448","$141,621,490"
"The Chronicles of Narnia: Prince Caspian","2008",2008-05-16,"PG","150 min","Action, Adventure, Family","Andrew Adamson","English","United States, Poland, Slovenia, Czech Republic, United Kingdom",6.5,220539,"tt0499448","$141,621,490"
"Dim Sum Funeral","2008",NA,"R","95 min","Comedy, Drama","Anna Chi","English, Mandarin","Canada, United States",5.2,715,"tt1216477","N/A"
"Dim Sum Funeral","2008",NA,"R","95 min","Comedy, Drama","Anna Chi","English, Mandarin","Canada, United States",5.2,715,"tt1216477","N/A"
"Stargate: Continuum","2008",2008-07-29,"Not Rated","98 min","Action, Adventure, Drama, Fantasy, Sci-Fi","Martin Wood","English","Canada, USA",7.5,23564,"tt0929629","N/A"
"Happy-Go-Lucky","2008",2008-11-21,"R","118 min","Comedy, Drama, Romance","Mike Leigh","English","United Kingdom",7,40655,"tt1045670","$3,512,016"
"Happy-Go-Lucky","2008",2008-11-21,"R","118 min","Comedy, Drama, Romance","Mike Leigh","English","United Kingdom",7,40655,"tt1045670","$3,512,016"
"Happy-Go-Lucky","2008",2008-11-21,"R","118 min","Comedy, Drama, Romance","Mike Leigh","English","United Kingdom",7,40655,"tt1045670","$3,512,016"
"Intrusos en Manasés","2008",2010-07-08,"N/A","N/A","Horror, Thriller","Juan Carlos Claver","Spanish","Spain",5,104,"tt1077084","N/A"
"Step Up 2: The Streets","2008",2008-02-14,"PG-13","98 min","Drama, Music, Romance","Jon M. Chu","English, Russian","United States",6.2,89984,"tt1023481","$58,017,783"
"Step Up 2: The Streets","2008",2008-02-14,"PG-13","98 min","Drama, Music, Romance","Jon M. Chu","English, Russian","United States",6.2,89984,"tt1023481","$58,017,783"
"Step Up 2: The Streets","2008",2008-02-14,"PG-13","98 min","Drama, Music, Romance","Jon M. Chu","English, Russian","United States",6.2,89984,"tt1023481","$58,017,783"
"El Regalo","2008",2008-10-02,"N/A","108 min","Comedy","Cristián Galaz, Andrea Ugalde","Spanish","Chile",6.6,232,"tt1305138","N/A"
"Horton Hears a Who!","2008",2008-03-14,"G","86 min","Animation, Adventure, Comedy","Jimmy Hayward, Steve Martino","English","United States, United Kingdom",6.8,147563,"tt0451079","$154,529,439"
"Horton Hears a Who!","2008",2008-03-14,"G","86 min","Animation, Adventure, Comedy","Jimmy Hayward, Steve Martino","English","United States, United Kingdom",6.8,147563,"tt0451079","$154,529,439"
"Horton Hears a Who!","2008",2008-03-14,"G","86 min","Animation, Adventure, Comedy","Jimmy Hayward, Steve Martino","English","United States, United Kingdom",6.8,147563,"tt0451079","$154,529,439"
"The Forbidden Kingdom","2008",2008-04-18,"PG-13","104 min","Action, Adventure, Fantasy","Rob Minkoff","English, Mandarin","United States, China, Hong Kong",6.5,108461,"tt0865556","$52,075,270"
"The Forbidden Kingdom","2008",2008-04-18,"PG-13","104 min","Action, Adventure, Fantasy","Rob Minkoff","English, Mandarin","United States, China, Hong Kong",6.5,108461,"tt0865556","$52,075,270"
"The Forbidden Kingdom","2008",2008-04-18,"PG-13","104 min","Action, Adventure, Fantasy","Rob Minkoff","English, Mandarin","United States, China, Hong Kong",6.5,108461,"tt0865556","$52,075,270"
"Marley & Me","2008",2008-12-25,"PG","115 min","Drama, Family","David Frankel","English","United States",7,164822,"tt0822832","$143,153,751"
"Marley & Me","2008",2008-12-25,"PG","115 min","Drama, Family","David Frankel","English","United States",7,164822,"tt0822832","$143,153,751"
"Marley & Me","2008",2008-12-25,"PG","115 min","Drama, Family","David Frankel","English","United States",7,164822,"tt0822832","$143,153,751"
"Igor","2008",2008-09-19,"PG","87 min","Animation, Comedy, Family","Tony Leondis","English","United States, France",5.9,24074,"tt0465502","$19,528,602"
"Igor","2008",2008-09-19,"PG","87 min","Animation, Comedy, Family","Tony Leondis","English","United States, France",5.9,24074,"tt0465502","$19,528,602"
"Igor","2008",2008-09-19,"PG","87 min","Animation, Comedy, Family","Tony Leondis","English","United States, France",5.9,24074,"tt0465502","$19,528,602"
"Passengers","2008",2008-09-26,"PG-13","93 min","Mystery, Romance, Thriller","Rodrigo García","English","United States, Canada",5.8,38652,"tt0449487","$292,437"
"Passengers","2008",2008-09-26,"PG-13","93 min","Mystery, Romance, Thriller","Rodrigo García","English","United States, Canada",5.8,38652,"tt0449487","$292,437"
"Passengers","2008",2008-09-26,"PG-13","93 min","Mystery, Romance, Thriller","Rodrigo García","English","United States, Canada",5.8,38652,"tt0449487","$292,437"
"The Gamers: Dorkness Rising","2008",2008-08-14,"PG","105 min","Action, Adventure, Comedy","Matt Vancil","English","United States",7.3,3332,"tt0447166","N/A"
"Mesrine: Killer Instinct","2008",2008-10-22,"R","113 min","Action, Biography, Crime","Jean-François Richet","French, English, Arabic, Spanish","France, Canada, Italy",7.5,34870,"tt1259014","$551,697"
"Mesrine: Killer Instinct","2008",2008-10-22,"R","113 min","Action, Biography, Crime","Jean-François Richet","French, English, Arabic, Spanish","France, Canada, Italy",7.5,34870,"tt1259014","$551,697"
"Mesrine: Killer Instinct","2008",2008-10-22,"R","113 min","Action, Biography, Crime","Jean-François Richet","French, English, Arabic, Spanish","France, Canada, Italy",7.5,34870,"tt1259014","$551,697"
"Miracle at St. Anna","2008",2008-09-26,"R","160 min","Action, Drama, War","Spike Lee","English, German, Italian","Italy, United States",6.1,19021,"tt1046997","$7,919,117"
"Miracle at St. Anna","2008",2008-09-26,"R","160 min","Action, Drama, War","Spike Lee","English, German, Italian","Italy, United States",6.1,19021,"tt1046997","$7,919,117"
"Miracle at St. Anna","2008",2008-09-26,"R","160 min","Action, Drama, War","Spike Lee","English, German, Italian","Italy, United States",6.1,19021,"tt1046997","$7,919,117"
"Helen","2008",2009-05-01,"Unrated","79 min","Drama","Joe Lawlor, Christine Molloy","English","United Kingdom, Ireland",5.8,444,"tt1288589","N/A"
"Helen","2008",2009-05-01,"Unrated","79 min","Drama","Joe Lawlor, Christine Molloy","English","United Kingdom, Ireland",5.8,444,"tt1288589","N/A"
"RocknRolla","2008",2008-10-31,"R","114 min","Action, Crime, Thriller","Guy Ritchie","English, Russian","United Kingdom, United States, France",7.2,261288,"tt1032755","$5,700,626"
"RocknRolla","2008",2008-10-31,"R","114 min","Action, Crime, Thriller","Guy Ritchie","English, Russian","United Kingdom, United States, France",7.2,261288,"tt1032755","$5,700,626"
"RocknRolla","2008",2008-10-31,"R","114 min","Action, Crime, Thriller","Guy Ritchie","English, Russian","United Kingdom, United States, France",7.2,261288,"tt1032755","$5,700,626"
"Lorna's Silence","2008",2008-08-27,"R","105 min","Drama","Jean-Pierre Dardenne, Luc Dardenne","French, Albanian, Russian","Belgium, France, Italy, Germany",7.1,9091,"tt1186369","$338,795"
"Lorna's Silence","2008",2008-08-27,"R","105 min","Drama","Jean-Pierre Dardenne, Luc Dardenne","French, Albanian, Russian","Belgium, France, Italy, Germany",7.1,9091,"tt1186369","$338,795"
"Lorna's Silence","2008",2008-08-27,"R","105 min","Drama","Jean-Pierre Dardenne, Luc Dardenne","French, Albanian, Russian","Belgium, France, Italy, Germany",7.1,9091,"tt1186369","$338,795"
"Stargate: The Ark of Truth","2008",2008-03-11,"Not Rated","101 min","Action, Adventure, Drama, Fantasy, Sci-Fi","Robert C. Cooper","English","USA, Canada",7.4,21542,"tt0942903","N/A"
"Wild Child","2008",2008-08-15,"PG-13","98 min","Comedy","Nick Moore","English, French, Latin, Spanish, Hindi","United States, United Kingdom, France",6.1,62184,"tt1024255","N/A"
"Wild Child","2008",2008-08-15,"PG-13","98 min","Comedy","Nick Moore","English, French, Latin, Spanish, Hindi","United States, United Kingdom, France",6.1,62184,"tt1024255","N/A"
"Martyrs","2008",2008-09-03,"R","99 min","Horror","Pascal Laugier","English, French","France, Canada",7,102414,"tt1029234","N/A"
"Martyrs","2008",2008-09-03,"R","99 min","Horror","Pascal Laugier","English, French","France, Canada",7,102414,"tt1029234","N/A"
"Synecdoche, New York","2008",2009-02-05,"R","124 min","Drama","Charlie Kaufman","English, German","United States",7.5,96217,"tt0383028","$3,083,538"
"Synecdoche, New York","2008",2009-02-05,"R","124 min","Drama","Charlie Kaufman","English, German","United States",7.5,96217,"tt0383028","$3,083,538"
"Synecdoche, New York","2008",2009-02-05,"R","124 min","Drama","Charlie Kaufman","English, German","United States",7.5,96217,"tt0383028","$3,083,538"
"Sauna","2008",2008-10-24,"Unrated","83 min","Drama, Horror, Mystery","Antti-Jussi Annila","Finnish, Russian","Finland, Czech Republic",6.2,7387,"tt1124394","N/A"
"The Other Boleyn Girl","2008",2008-02-29,"PG-13","115 min","Biography, Drama, History","Justin Chadwick","English","United Kingdom, United States",6.7,117756,"tt0467200","$26,814,957"
"The Other Boleyn Girl","2008",2008-02-29,"PG-13","115 min","Biography, Drama, History","Justin Chadwick","English","United Kingdom, United States",6.7,117756,"tt0467200","$26,814,957"
"The Other Boleyn Girl","2008",2008-02-29,"PG-13","115 min","Biography, Drama, History","Justin Chadwick","English","United Kingdom, United States",6.7,117756,"tt0467200","$26,814,957"
"Fireproof","2008",2008-09-26,"PG","122 min","Drama, Romance","Alex Kendrick","English","United States",6.4,23763,"tt1129423","$33,456,317"
"Fireproof","2008",2008-09-26,"PG","122 min","Drama, Romance","Alex Kendrick","English","United States",6.4,23763,"tt1129423","$33,456,317"
"Fireproof","2008",2008-09-26,"PG","122 min","Drama, Romance","Alex Kendrick","English","United States",6.4,23763,"tt1129423","$33,456,317"
"Dance of the Dead","2008",2008-03-09,"R","87 min","Action, Comedy, Horror","Gregg Bishop","English","United States",5.8,11888,"tt0926063","N/A"
"Dance of the Dead","2008",2008-03-09,"R","87 min","Action, Comedy, Horror","Gregg Bishop","English","United States",5.8,11888,"tt0926063","N/A"
"French Film","2008",2010-08-31,"N/A","87 min","Comedy, Romance","Jackie Oudney","English","United Kingdom",6.5,795,"tt0986230","N/A"
"French Film","2008",2010-08-31,"N/A","87 min","Comedy, Romance","Jackie Oudney","English","United Kingdom",6.5,795,"tt0986230","N/A"
"Tokyo Sonata","2008",2008-09-27,"PG-13","120 min","Drama","Kiyoshi Kurosawa","Japanese","Japan, Netherlands, Hong Kong",7.5,11289,"tt0938341","$278,356"
"Tokyo Sonata","2008",2008-09-27,"PG-13","120 min","Drama","Kiyoshi Kurosawa","Japanese","Japan, Netherlands, Hong Kong",7.5,11289,"tt0938341","$278,356"
"Tokyo Sonata","2008",2008-09-27,"PG-13","120 min","Drama","Kiyoshi Kurosawa","Japanese","Japan, Netherlands, Hong Kong",7.5,11289,"tt0938341","$278,356"
"Wendy and Lucy","2008",2009-03-06,"R","80 min","Drama","Kelly Reichardt","English","United States",7.1,19376,"tt1152850","$865,695"
"Wendy and Lucy","2008",2009-03-06,"R","80 min","Drama","Kelly Reichardt","English","United States",7.1,19376,"tt1152850","$865,695"
"Wendy and Lucy","2008",2009-03-06,"R","80 min","Drama","Kelly Reichardt","English","United States",7.1,19376,"tt1152850","$865,695"
"Waltz with Bashir","2008",2008-06-12,"R","90 min","Documentary, Animation, Biography","Ari Folman","Hebrew, Arabic, German, English","Israel, France, Germany, United States, Finland, Switzerland, Belgium, Australia",8,59533,"tt1185616","$2,283,849"
